"CoP","CoPyear","CoPcity","Status","Delegation","URL","Honorific","PersonID","Affiliation","AffiliationStatus","CoPlatitude","CoPlongitude","Latitude","Longitude","GeoPrecision","Distance","Party","Observer","Female","Male","DelegationCOW","Delegation_ISO"
"CoP8",1992,"Kyoto (Japan)","Parties","Indonesia","https://cites.org/sites/default/files/eng/cop/08/E-Participants.pdf","NA","35538270838426754455296716037","Bogor, Java, Indonesia","City",35.0115754,135.7681441,"-6.6","106.8","city","5534.04478982492",1,0,0,1,850,"IDN"
"CoP3",1981,"New Delhi (India)","Observers","Association of European Ivory Traders","https://cites.org/sites/default/files/eng/cop/03/E03-List-of-Participants-Observers.pdf","NA","36426849707043440603192392590","Nairobi, Nairobi County, Kenya","City",28.6430858,77.2192671,"-1.29","36.82","city","5437.310073426",0,1,0,1,NA,NA
"CoP13",2004,"Bangkok (Thailand)","Parties","Guatemala","https://cites.org/sites/default/files/common/cop/13/participants_party.pdf","NA","33730953222628090931271740741","Guatemala City, Guatemala Department, Guatemala","City",13.7524938,100.4935089,"14.64","-90.51","city","16633.7480838026",1,0,0,1,90,"GTM"
"CoP5",1985,"Buenos Aires (Argentina)","Parties","United States of America","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Parties.pdf","NA","49193605872444166282850778438","Washington, District of Columbia, United States","City",-34.6083696,-58.4440583,"38.9","-77.04","city","8394.8645763643",1,0,1,0,2,"USA"
"CoP10",1997,"Harare (Zimbabwe)","Parties","Netherlands","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","31121804255208915461677410830","Harare, Harare, Zimbabwe","City",-17.8567035,31.0601584,"-17.83","31.05","city","3.1579773128287",1,0,0,1,210,"NLD"
"CoP15",2010,"Doha (Qatar)","Observers","The Precious Coral Protection and Development Association","https://cites.org/sites/default/files/common/cop/15/cop15_participants_observers.pdf","NA","8285139243525925809352202910","Kōchi, Japan","City",25.2856329,51.5264162,"33.56","133.53","city","7790.97920038083",0,1,0,1,NA,NA
"CoP10",1997,"Harare (Zimbabwe)","Observers","Wildlife Producers Association (Zimbabwe)","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","20365912027426939361483717183","Washington, District of Columbia, United States","City",-17.8567035,31.0601584,"38.9","-77.04","city","12787.9435944404",0,1,0,1,NA,NA
"CoP11",2000,"Gigiri (Kenya)","Observers","High North Alliance","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","14384432555934895841174839430","Norway","Country",-1.2325029,36.8072952,"67.93","13.09","city","7905.46001116032",0,1,0,1,NA,NA
"CoP11",2000,"Gigiri (Kenya)","Observers","Maasai Environmental Resource Coalition (Merc)","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","5791278168939002748170780378","Nairobi, Nairobi County, Kenya","City",-1.2325029,36.8072952,"-1.29","36.82","city","6.54753103738282",0,1,0,1,NA,NA
"CoP7",1989,"Lausanne (Switzerland)","Parties","South Africa","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Parties.pdf","NA","19323521107981215387100833196","Geneva, Geneva, Switzerland","City",46.5218269,6.6327025,"46.2","6.15","city","51.5037248627851",1,0,0,1,560,"ZAF"
"CoP6",1987,"Ottawa (Canada)","Parties","Argentina","https://cites.org/sites/default/files/eng/cop/06/E06-List-of-Participants-Parties.pdf","NA","33510811831850182800814794334","Formosa, Formosa, Argentina","City",45.4208777,-75.6901106,"-26.19","-58.17","city","8157.96196871672",1,0,0,1,160,"ARG"
"CoP16",2013,"Bangkok (Thailand)","Parties","Thailand","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","52886132005041064190853280193","Bangkok, Thailand","City",13.7524938,100.4935089,"13.75","100.49","city","0.469602270722705",1,0,1,0,800,"THA"
"CoP8",1992,"Kyoto (Japan)","Parties","Venezuela","https://cites.org/sites/default/files/eng/cop/08/E-Participants.pdf","NA","52697148231152241999499955837","Caracas, Capital District, Venezuela","City",35.0115754,135.7681441,"10.51","-66.91","city","14418.7664903363",1,0,1,0,101,"VEN"
"CoP2",1979,"San José (Costa Rica)","Parties","United Kingdom","https://cites.org/sites/default/files/eng/cop/02/E02-List-of-participants-Parties.pdf","Mr.","18170908599288044355113886782","Bristol, England, United Kingdom","City",9.9325427,-84.0795782,"51.45","-2.6","city","8556.14797221154",1,0,0,1,200,"GBR"
"CoP8",1992,"Kyoto (Japan)","Parties","Portugal","https://cites.org/sites/default/files/eng/cop/08/E-Participants.pdf","NA","8176886686008497084979406065","Lisbon, Portugal","KeptOriginal",35.0115754,135.7681441,"38.71","-9.14","city","11058.0000685583",1,0,1,0,235,"PRT"
"CoP10",1997,"Harare (Zimbabwe)","Observers","Inuvialuit Game Council (Canada)","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","39318609379044806867813743637","Northwest Territories, Canada","State",-17.8567035,31.0601584,"65.0","-118.0","state_province","14291.9194537369",0,1,0,1,NA,NA
"CoP14",2007,"The Hague (the Netherlands)","Parties","Botswana","https://cites.org/sites/default/files/common/cop/14/list_party.pdf","NA","54721488378817469193620134950","Maun, Botswana","City",52.0799838,4.3113461,"-19.99","23.42","city","8225.80469654123",1,0,0,1,571,"BWA"
"CoP14",2007,"The Hague (the Netherlands)","Parties","United Kingdom","https://cites.org/sites/default/files/common/cop/14/list_party.pdf","NA","71599995657984872990419572491","Peterborough, England, United Kingdom","City",52.0799838,4.3113461,"52.57","-0.24","city","314.01766269333",1,0,0,1,200,"GBR"
"CoP15",2010,"Doha (Qatar)","Parties","Indonesia","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","54276743260457294322764026804","Deputy Director for Multilateral Cooperation Ministry of Marine Affairs and Fisheries Kementerian Kelautan dan Perikanan Gedung Mina Bahari I Jl Merdeka Timur No JAKARTA","KeptOriginal",25.2856329,51.5264162,"-6.18","106.84","city","6922.07193327935",1,0,1,0,850,"IDN"
"CoP11",2000,"Gigiri (Kenya)","Parties","Dominica","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","25467088104748629977976285711","Special Assistant to the Minister Ministry for Agriculture Planning and the Environment ROSEAU","KeptOriginal",-1.2325029,36.8072952,"7.15","124.5","city","9770.10838179114",1,0,0,1,54,"DMA"
"CoP10",1997,"Harare (Zimbabwe)","Parties","Canada","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","62062794332631176450128400696","Ottawa, Ontario, Canada","City",-17.8567035,31.0601584,"45.42","-75.69","city","12705.650617565",1,0,0,1,20,"CAN"
"CoP16",2013,"Bangkok (Thailand)","Observers","European Union","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","47336485413265679982295920284","Brussels, Brussels-Capital, Belgium","City",13.7524938,100.4935089,"50.85","4.35","city","9249.34273474171",0,1,0,1,NA,"EUE"
"CoP10",1997,"Harare (Zimbabwe)","Parties","Kenya","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","27575727631335135532561346733","Harare, Harare, Zimbabwe","City",-17.8567035,31.0601584,"-17.83","31.05","city","3.1579773128287",1,0,0,1,501,"KEN"
"CoP14",2007,"The Hague (the Netherlands)","Observers","International Primate Protection League","https://cites.org/sites/default/files/common/cop/14/list_observer.pdf","NA","67264948164210526304274456337","Summerville, South Carolina, United States","City",52.0799838,4.3113461,"33.02","-80.18","city","6822.61699829668",0,1,1,0,NA,NA
"CoP7",1989,"Lausanne (Switzerland)","Observers","Zimbabwe Trust","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Observers.pdf","NA","13154046717217079090817602358","Harare, Harare, Zimbabwe","City",46.5218269,6.6327025,"-17.83","31.05","city","7563.65491698267",0,1,0,1,NA,NA
"CoP11",2000,"Gigiri (Kenya)","Parties","Ethiopia","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","14121392360781972235718971141","Nairobi, Nairobi County, Kenya","City",-1.2325029,36.8072952,"-1.29","36.82","city","6.54753103738282",1,0,0,1,530,"ETH"
"CoP14",2007,"The Hague (the Netherlands)","Observers","Fondation Brigitte Bardot","https://cites.org/sites/default/files/common/cop/14/list_observer.pdf","NA","66548098175547285850901836248","Paris, Ile-de-France, France","City",52.0799838,4.3113461,"48.85","2.35","city","385.017325626179",0,1,1,0,NA,NA
"CoP5",1985,"Buenos Aires (Argentina)","Parties","United States of America","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Parties.pdf","NA","71083654775421115814702207506","Washington, District of Columbia, United States","City",-34.6083696,-58.4440583,"38.9","-77.04","city","8394.8645763643",1,0,0,1,2,"USA"
"CoP10",1997,"Harare (Zimbabwe)","Parties","South Africa","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","40981234813304274232289557703","Eastern Cape, South Africa","State",-17.8567035,31.0601584,"-32.85","27.45","city","1705.81813324356",1,0,0,1,560,"ZAF"
"CoP3",1981,"New Delhi (India)","Parties","Papua New Guinea","https://cites.org/sites/default/files/eng/cop/03/E03-List-of-Participants-Parties.pdf","NA","74101194153464214080829106840","Division of Wildlife Department of Lands Surveys and Environment Konedobu","KeptOriginal",28.6430858,77.2192671,"32.4","35.56","city","3987.35160493033",1,0,1,0,910,"PNG"
"CoP5",1985,"Buenos Aires (Argentina)","Parties","Brazil","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Parties.pdf","NA","52479728622594235274582920883","Departamento de Parques Nacíonais e Reservas Equivantes Palacio do Desenvolvimento Andar Brasilia","KeptOriginal",-34.6083696,-58.4440583,"-15.79","-47.88","city","2343.22985964317",1,0,1,0,140,"BRA"
"CoP13",2004,"Bangkok (Thailand)","Observers","Robin des Bois","https://cites.org/sites/default/files/common/cop/13/participants_observer.pdf","NA","54024488935197073668964407161","Paris, Ile-de-France, France","City",13.7524938,100.4935089,"48.85","2.35","city","9443.18393992054",0,1,1,0,NA,NA
"CoP5",1985,"Buenos Aires (Argentina)","Observers","World Wildlife Fund (U.S.A.)","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Observers.pdf","NA","28989505558179282099453145321","Washington, District of Columbia, United States","City",-34.6083696,-58.4440583,"38.9","-77.04","city","8394.8645763643",0,1,1,0,NA,NA
"CoP13",2004,"Bangkok (Thailand)","Parties","New Zealand","https://cites.org/sites/default/files/common/cop/13/participants_party.pdf","NA","59358102827516692029729957538","Wellington, New Zealand","State",13.7524938,100.4935089,"-41.3","174.8","state_province","9749.55066969107",1,0,0,1,920,"NZL"
"CoP13",2004,"Bangkok (Thailand)","Observers","Ifaw - International Fund for Animal Welfare","https://cites.org/sites/default/files/common/cop/13/participants_observer.pdf","NA","34000974534804207882152378090","Barnstable, Massachusetts, United States","City",13.7524938,100.4935089,"41.65","-70.28","city","13782.2157064924",0,1,0,1,NA,NA
"CoP8",1992,"Kyoto (Japan)","Parties","Canada","https://cites.org/sites/default/files/eng/cop/08/E-Participants.pdf","NA","61659850718640407868992933690","Minato, Japan","City",35.0115754,135.7681441,"35.66","139.75","city","368.292516819065",1,0,0,1,20,"CAN"
"CoP12",2002,"Santiago (Chile)","Parties","Japan","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","13850985081042077475217681020","Taito, Japan","City",-33.4377756,-70.6504502,"35.71","139.78","city","17228.6598900517",1,0,0,1,740,"JPN"
"CoP15",2010,"Doha (Qatar)","Parties","Peru","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","12697780253559002775564261399","Lima, Peru","State",25.2856329,51.5264162,"-12.05","-77.03","city","14434.8468696946",1,0,1,0,135,"PER"
"CoP14",2007,"The Hague (the Netherlands)","Observers","Ifaw - International Fund for Animal Welfare","https://cites.org/sites/default/files/common/cop/14/list_observer.pdf","NA","14291249834732978175321094602","Brussels, Brussels-Capital, Belgium","City",52.0799838,4.3113461,"50.85","4.35","city","136.794162617722",0,1,0,1,NA,NA
"CoP2",1979,"San José (Costa Rica)","Observers","Mississippi State University","https://cites.org/sites/default/files/eng/cop/02/E02-List-of-participants-Observers.pdf","NA","13901194728207894723734174330","Mississippi, United States","State",9.9325427,-84.0795782,"33.0","-89.7","state_province","2628.81096478169",0,1,0,1,NA,NA
"CoP10",1997,"Harare (Zimbabwe)","Parties","Canada","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","9985763341871332155595961174","Tallinn, Estonia","City",-17.8567035,31.0601584,"59.44","24.76","city","8614.08277411919",1,0,1,0,20,"CAN"
"CoP13",2004,"Bangkok (Thailand)","Parties","Spain","https://cites.org/sites/default/files/common/cop/13/participants_party.pdf","NA","34887236679585476984437501963","Bangkok, Thailand","City",13.7524938,100.4935089,"13.75","100.49","city","0.469602270722705",1,0,0,1,230,"ESP"
"CoP15",2010,"Doha (Qatar)","Parties","United Kingdom","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","71599995657984872990419572491","Peterborough, England, United Kingdom","City",25.2856329,51.5264162,"52.57","-0.24","city","5249.72872729257",1,0,0,1,200,"GBR"
"CoP15",2010,"Doha (Qatar)","Parties","Madagascar","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","27278472633397956183924560872","Chef du service de la Gestion de la faune et de la Flore Ministère de l'Environnement des Eaux et Forêts et du Tourisme Nanisana ANTANANARIVO E rabe_sahondra yahoofr","KeptOriginal",25.2856329,51.5264162,"46.56","2.58","city","4900.65239733044",1,0,1,0,580,"MDG"
"CoP12",2002,"Santiago (Chile)","Parties","Mexico","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","50860417884003344241504602126","Mexico City, Mexico City, Mexico","City",-33.4377756,-70.6504502,"19.43","-99.13","city","6609.54462016057",1,0,1,0,70,"MEX"
"CoP11",2000,"Gigiri (Kenya)","Observers","Humane Society of Canada","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","51173337115710002226966140174","Toronto, Ontario, Canada","City",-1.2325029,36.8072952,"43.65","-79.38","city","12177.7545630806",0,1,0,1,NA,NA
"CoP10",1997,"Harare (Zimbabwe)","Parties","Trinidad and Tobago","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","71338464854237475085061300218","Ministry of Agriculture Kings Wharf FERNANDO","KeptOriginal",-17.8567035,31.0601584,"36.46","-6.2","city","7196.43703544281",1,0,0,1,52,"TTO"
"CoP11",2000,"Gigiri (Kenya)","Parties","Zambia","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","51707645535157909745030697817","Chairman and Acting Director-General Zambia Wildlife Authority Private Bag CHILANGA E","KeptOriginal",-1.2325029,36.8072952,"1.36","103.82","city","7456.39146189174",1,0,0,1,551,"ZMB"
"CoP2",1979,"San José (Costa Rica)","Observers","International Pet Trade Organization","https://cites.org/sites/default/files/eng/cop/02/E02-List-of-participants-Observers.pdf","NA","23082235595240367890146829285","c PTA Pampisford South Croydon Surrey England","KeptOriginal",9.9325427,-84.0795782,"51.51","-0.13","city","8727.11501625686",0,1,0,1,NA,NA
"CoP6",1987,"Ottawa (Canada)","Parties","Japan","https://cites.org/sites/default/files/eng/cop/06/E06-List-of-Participants-Parties.pdf","NA","65971177018658689362689351934","Chiyoda, Japan","City",45.4208777,-75.6901106,"35.69","139.75","city","10319.2214296989",1,0,0,1,740,"JPN"
"CoP10",1997,"Harare (Zimbabwe)","Parties","Russian Federation","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","27632095908796907193591820179","Moscow, Moscow, Russia","City",-17.8567035,31.0601584,"55.75","37.62","city","8207.9703425533",1,0,0,1,365,"RUS"
"CoP4",1983,"Gaborone (Botswana)","Observers","Pet Industry Joint Advisory Council","https://cites.org/sites/default/files/eng/cop/04/E04-List-of-Participants-Observers.pdf","NA","16383534671245412351021109480","Washington, District of Columbia, United States","City",-24.6581357,25.9088474,"38.9","-77.04","city","12772.3634448688",0,1,0,1,NA,NA
"CoP13",2004,"Bangkok (Thailand)","Observers","Safari Club International Club International Foundation","https://cites.org/sites/default/files/common/cop/13/participants_observer.pdf","NA","40648133200619572286239161124","Washington, District of Columbia, United States","City",13.7524938,100.4935089,"38.9","-77.04","city","14154.785998011",0,1,1,0,NA,NA
"CoP15",2010,"Doha (Qatar)","Parties","Venezuela","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","44976007996972298075253668654","Doha, Qatar","City",25.2856329,51.5264162,"25.29","51.53","city","0.604675549195918",1,0,0,1,101,"VEN"
"CoP12",2002,"Santiago (Chile)","Parties","Uruguay","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","42814877978158804169312469855","Montevideo, Montevideo, Uruguay","City",-33.4377756,-70.6504502,"-34.91","-56.19","city","1339.13616491819",1,0,0,1,165,"URY"
"CoP14",2007,"The Hague (the Netherlands)","Parties","Thailand","https://cites.org/sites/default/files/common/cop/14/list_party.pdf","NA","18423170979405924501690201087","Bangkok, Thailand","City",52.0799838,4.3113461,"13.75","100.49","city","9220.28925959883",1,0,0,1,800,"THA"
"CoP15",2010,"Doha (Qatar)","Parties","Tanzania, United Republic of","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","42786074466064206446744531923","Dar es-Salaam, Coastal Zone, Tanzania","City",25.2856329,51.5264162,"-6.82","39.28","city","3807.85890894399",1,0,0,1,510,"TZA"
"CoP16",2013,"Bangkok (Thailand)","Parties","Oman","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","39278180380299433033811609692","Bawshar Province, Muscat Governorate, Oman","City",13.7524938,100.4935089,"23.57","58.41","city","4548.29720713561",1,0,0,1,698,"OMN"
"CoP15",2010,"Doha (Qatar)","Parties","United Kingdom","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","77556988059581943705253781439","Bristol, England, United Kingdom","City",25.2856329,51.5264162,"51.45","-2.6","city","5379.09390182664",1,0,0,1,200,"GBR"
"CoP12",2002,"Santiago (Chile)","Parties","Ecuador","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","78325122379682733791106641444","Unidad de Vida Silvestre Direccción de Biodiversidad y Areas Naturales Ministerio de Medio Ambiente QUITO","KeptOriginal",-33.4377756,-70.6504502,"42.42","0.14","city","11089.5239314119",1,0,0,1,130,"ECU"
"CoP5",1985,"Buenos Aires (Argentina)","Parties","Denmark","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Parties.pdf","NA","53139930439288202114486489947","CoPenhagen, Capital Region of Denmark, Denmark","City",-34.6083696,-58.4440583,"55.69","12.57","city","12070.6976871239",1,0,0,1,390,"DNK"
"CoP15",2010,"Doha (Qatar)","Parties","Tanzania, United Republic of","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","34285951521488624584552673350","Dar es-Salaam, Coastal Zone, Tanzania","City",25.2856329,51.5264162,"-6.82","39.28","city","3807.85890894399",1,0,0,1,510,"TZA"
"CoP11",2000,"Gigiri (Kenya)","Observers","Center for Marine Conservation","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","63401245936117381974175326157","Washington, District of Columbia, United States","City",-1.2325029,36.8072952,"38.9","-77.04","city","12137.1694135053",0,1,1,0,NA,NA
"CoP11",2000,"Gigiri (Kenya)","Observers","Japan Bekko Association","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","44077815319178014394879840252","Taito, Japan","City",-1.2325029,36.8072952,"35.71","139.78","city","11256.5472691905",0,1,0,1,NA,NA
"CoP15",2010,"Doha (Qatar)","Observers","Unesco","https://cites.org/sites/default/files/common/cop/15/cop15_participants_observers.pdf","NA","21993796761640544337219657386","Doha, Qatar","City",25.2856329,51.5264162,"25.29","51.53","city","0.604675549195918",0,1,0,1,NA,NA
"CoP7",1989,"Lausanne (Switzerland)","Parties","Canada","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Parties.pdf","NA","68885906073582575134135987014","Ministry of Natural Resources Government of Ontario Skyway REXDALE Ontario","KeptOriginal",46.5218269,6.6327025,"43.65","-79.38","city","6407.35933960829",1,0,0,1,20,"CAN"
"CoP16",2013,"Bangkok (Thailand)","Parties","South Africa","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","42293402222223626166981222559","Cape Town, Western Cape, South Africa","City",13.7524938,100.4935089,"-33.93","18.42","city","10144.8795216083",1,0,0,1,560,"ZAF"
"CoP9",1994,"Fort Lauderdale (United States of America)","Observers","Japan Bekko Associations","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","63106290679650345662035073804","Nagasaki, Japan","City",26.1223084,-80.1433786,"32.75","129.88","city","12738.340569273",0,1,0,1,NA,NA
"CoP14",2007,"The Hague (the Netherlands)","Parties","Qatar","https://cites.org/sites/default/files/common/cop/14/list_party.pdf","NA","28855392061685764396419824076","Director Department of Wildlife Conservation Head of the Technical Team Supreme Council for the Environment and Natural Reserves DOHA","KeptOriginal",52.0799838,4.3113461,"25.23","51.21","city","4922.01142501324",1,0,0,1,694,"QAT"
"CoP13",2004,"Bangkok (Thailand)","Parties","Monaco","https://cites.org/sites/default/files/common/cop/13/participants_party.pdf","NA","66446777842540840351120972369","Monaco, Monaco","City",13.7524938,100.4935089,"43.73","7.43","city","9197.38376915032",1,0,0,1,221,"MCO"
"CoP4",1983,"Gaborone (Botswana)","Parties","Pakistan","https://cites.org/sites/default/files/eng/cop/04/E04-List-of-Participants-Parties.pdf","NA","67767232120662481898073882614","Maputo, Zona Sul, Mozambique","City",-24.6581357,25.9088474,"-25.97","32.57","city","685.178425731988",1,0,0,1,770,"PAK"
"CoP5",1985,"Buenos Aires (Argentina)","Observers","Canadian Wildlife Federation","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Observers.pdf","NA","73875519521390471199390941963","Ottawa, Ontario, Canada","City",-34.6083696,-58.4440583,"45.42","-75.69","city","9066.39271590506",0,1,0,1,NA,NA
"CoP7",1989,"Lausanne (Switzerland)","Parties","Belize","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Parties.pdf","NA","29146661492577714924435400881","Forest Department Ministry of Agriculture Forestry and Fisheries BELMOPAN","KeptOriginal",46.5218269,6.6327025,"11.54","104.92","city","9701.66577562765",1,0,0,1,80,"BLZ"
"CoP16",2013,"Bangkok (Thailand)","Parties","United States of America","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","70527122746857465366678400775","Bangkok, Thailand","City",13.7524938,100.4935089,"13.75","100.49","city","0.469602270722705",1,0,0,1,2,"USA"
"CoP11",2000,"Gigiri (Kenya)","Parties","Saint-Vincent and the Grenadines","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","61162161191287559614806274701","Fisheries Department Ministry of Agriculture Industry and Labour KINGSTOWN","KeptOriginal",-1.2325029,36.8072952,"7.15","124.5","city","9770.10838179114",1,0,0,1,57,"VCT"
"CoP16",2013,"Bangkok (Thailand)","Observers","United Nations Environment Programme","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","59363234329917778282669891018","Jid Hafs, Capital Governorate, Bahrain","City",13.7524938,100.4935089,"26.22","50.58","city","5362.81363647519",0,1,1,0,NA,NA
"CoP4",1983,"Gaborone (Botswana)","Observers","International Fur Trade Federation","https://cites.org/sites/default/files/eng/cop/04/E04-List-of-Participants-Observers.pdf","NA","16775258334658249126884102127","AF FRAYLING Cannon London Great Britain","KeptOriginal",-24.6581357,25.9088474,"51.52","-0.09","city","8843.61594587485",0,1,0,1,NA,NA
"CoP16",2013,"Bangkok (Thailand)","Observers","Pet Industry Joint Advisory Council","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","1771089268818383656717175064","Washington, District of Columbia, United States","City",13.7524938,100.4935089,"38.9","-77.04","city","14154.785998011",0,1,0,1,NA,NA
"CoP3",1981,"New Delhi (India)","Parties","Indonesia","https://cites.org/sites/default/files/eng/cop/03/E03-List-of-Participants-Parties.pdf","NA","10667053532986605592708413914","New Delhi, India","City",28.6430858,77.2192671,"28.61","77.21","city","3.7885287997335",1,0,0,1,850,"IDN"
"CoP10",1997,"Harare (Zimbabwe)","Observers","American Zoo and Aquarium Association (U.S.A.)","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","33831332268468732451844830912","Bethesda, Maryland, United States","City",-17.8567035,31.0601584,"38.98","-77.12","city","12795.3641129391",0,1,1,0,NA,NA
"CoP7",1989,"Lausanne (Switzerland)","Observers","Hong Kong & Kowloon Ivory Manufacturers' Association Ltd.","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Observers.pdf","NA","12332663769310322981961531438","Mirador Mansion Nathan KOWLOON","KeptOriginal",46.5218269,6.6327025,"22.34","114.18","city","9472.1607766915",0,1,0,1,NA,NA
"CoP9",1994,"Fort Lauderdale (United States of America)","Observers","Samutprakan Crocodile Farm & Zoo Co., Ltd. (Thailand)","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","55943155509288303470692199242","Taiban SAMUTPRAKAN","KeptOriginal",26.1223084,-80.1433786,"13.52","100.65","city","15606.2275451031",0,1,0,1,NA,NA
"CoP7",1989,"Lausanne (Switzerland)","Parties","United States of America","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Parties.pdf","NA","7380764893199345699849361308","Washington, District of Columbia, United States","City",46.5218269,6.6327025,"38.9","-77.04","city","6563.09947211206",1,0,1,0,2,"USA"
"CoP7",1989,"Lausanne (Switzerland)","Parties","United States of America","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Parties.pdf","NA","35415282439012641435709192064","Washington, District of Columbia, United States","City",46.5218269,6.6327025,"38.9","-77.04","city","6563.09947211206",1,0,0,1,2,"USA"
"CoP14",2007,"The Hague (the Netherlands)","Observers","World Society for the Protection of Animals","https://cites.org/sites/default/files/common/cop/14/list_observer.pdf","NA","56030203495342320722405701451","Greater London, England, United Kingdom","City",52.0799838,4.3113461,"51.51","-0.13","city","311.891043707002",0,1,1,0,NA,NA
"CoP14",2007,"The Hague (the Netherlands)","Parties","Spain","https://cites.org/sites/default/files/common/cop/14/list_party.pdf","NA","62503315701172923260483783735","Madrid, Community of Madrid, Spain","City",52.0799838,4.3113461,"40.42","-3.7","city","1433.36399439909",1,0,0,1,230,"ESP"
"CoP5",1985,"Buenos Aires (Argentina)","Observers","Asara","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Observers.pdf","NA","33202395757391378858322274813","San Carlos de Bariloche, Río Negro, Argentina","City",-34.6083696,-58.4440583,"-41.13","-71.31","city","1339.93284289824",0,1,0,1,NA,NA
"CoP9",1994,"Fort Lauderdale (United States of America)","Parties","Zimbabwe","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","16712763393814611689173167025","Harare, Harare, Zimbabwe","City",26.1223084,-80.1433786,"-17.83","31.05","city","12937.2463627332",1,0,0,1,552,"ZWE"
"CoP5",1985,"Buenos Aires (Argentina)","Parties","Canada","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Parties.pdf","NA","69413934573354213196340204486","Ottawa, Ontario, Canada","City",-34.6083696,-58.4440583,"45.42","-75.69","city","9066.39271590506",1,0,0,1,20,"CAN"
"CoP13",2004,"Bangkok (Thailand)","Observers","Telapak Indonesia","https://cites.org/sites/default/files/common/cop/13/participants_observer.pdf","NA","60165502718528255731258784568","Bogor, Java, Indonesia","City",13.7524938,100.4935089,"-6.6","106.8","city","2367.74305397237",0,1,0,1,NA,NA
